name,email,phone,website_url,address,city,state,zip_code,country,description,years_in_business,linkedin_url,instagram_url,twitter_url,facebook_url,logo_url,is_published,is_featured
"OT Sports Group","contact@otsportsgroup.com","","https://www.otsportsgroup.com/","","New York","NY","","USA","","","","","","","","true","false"
"P4 Sports Agency","contact@p4sportsagency.com","(866) 237-9003","http://www.p4sportsagency.com/","722 11 Ave SW Unit C","Calgary","AB","T2R 0E4","CA","","","","","https://twitter.com/P4_Hockey","https://www.facebook.com/pacific4sportsmanagement/","","true","false"
"Paragon Sports Consulting","info@paragonsportsconsulting.com","201-574-6231","https://paragonsportsconsulting.com/","","Unknown","XX","","USA","","2019","","https://www.instagram.com/paragonathlete/","https://twitter.com/ParagonAthlete","","","true","false"
"Paramount Advisory Group","info@paramountadvising.com","(780) 982-9215","https://paramountadvising.com","","Edmonton","AB","","Canada","","","","https://www.instagram.com/paramountadvising/","https://x.com/paramountadvise","https://www.facebook.com/paramountsportsadvisory","","true","false"
"PARAPHE Sports Management","paulcorbeil@paraphe.ca","+1 819-693-9991","http://paraphe.ca/","56 Rue Fusey","Trois-Rivières","QC","G8T 2T7","CA","","","","","","https://www.facebook.com/PARAPHE-Sports-Management-321191097985792/","","true","false"
"PCI Hockey","thane@thanecampbell.com","+1 647-241-8296","https://procounsel.ca/contact-us/","1100 Burloak Dr Suite 300","Burlington","ON","L7L 6B2","CA","","1994","https://www.linkedin.com/company/pci-hockey/","https://www.instagram.com/pcihockey/?hl=en","","","","true","false"
"Perfection Hockey Group","perfectionhockeyagency@hotmail.com","506-866-3887","https://www.perfectionhockeygroup.com/","","Moncton","NB","","Canada","","","","https://www.instagram.com/perfection_hockeygroup/","","https://www.facebook.com/perfectionhockeyschool","","true","false"
"Phenom Hockey Agency","info@phenomfha.ca","","https://www.phenomfha.ca/","","Unknown","XX","","Canada","","","","","","https://www.facebook.com/profile.php?id=100092367261902","","true","false"
"Pinnacle Hockey Management","pinnaclehockey59@gmail.com","","https://www.pinnaclehockey.net/","","ON","ON","","Canada","","","","https://www.instagram.com/_Pinnaclehockey/","https://x.com/_pinnaclehockey","","","true","false"
"Platinum Talent Agency","contact@platinumtalentagency.com","","https://www.platinumsportshockey.com/","","Unknown","XX","","US","","","","https://www.instagram.com/platinumsportshockey","","","","true","false"
"Player Rep 24/7","contact@playerrep247.com","989-402-3238","https://playerrep247.wordpress.com/","","MI","MI","","USA","","","","","","https://www.facebook.com/playerrep247/","","true","false"
"Popoff Sports Management","carter@popoffsportsmanagement.ca","(778)-835-5083","http://www.popoffsportsmanagement.ca/","","Vancouver","BC","","Canada","","","","","","","","true","false"
"Post2Post Hockey Advising","info@p2phockeyadvising.com","","https://p2phockeyadvising.com/home","","Unknown","XX","","US","","","","https://www.instagram.com/p2phockeyadvising?fbclid=IwY2xjawNGNUlleHRuA2FlbQIxMABicmlkETFZWXlmMHdpZmdZamh3RWhxAR7tHJ32V7UBGME4mHnRt69-n_RZOeDdBlZMHAqao7XTv44sfzEZE7TeziqbzA_aem_0cgwZgvwiMF0WX50SQBoEQ","","https://www.facebook.com/profile.php?id=61556398302543&mibextid=LQQJ4d","","true","false"
"Potente Sports","admin@potentesports.com","313-360-1197","https://potentesports.com/","","Detroit","MI","","USA","","","","https://www.instagram.com/potentesports/","https://www.twitter.com/mypotentesports","https://www.facebook.com/profile.php?id=100093136675221","","true","false"
"Premier Hockey Management","contact@premierhockeymanagement.com","","https://www.premierhockeymanagement.com/","","Unknown","XX","","US","","","","","","","","true","false"
"Prep Hockey Advisors","david@prephockeyadvisors.com","203-848-7112","https://www.prephockeyadvisors.com/","","CT","CT","","USA","","","","https://www.instagram.com/prephockeyadvisors","https://x.com/prephockeyadv","https://www.facebook.com/prephockeyadvisors?fref=ts#","","true","false"
"Prestige Hockey Placement","prestigeplacementhockey@gmail.com","","https://www.facebook.com/prestige.hockey.placement.2025/about","","Montreal","QC","","Canada","","","","https://www.instagram.com/prestigehockeyplacement/","","https://www.facebook.com/profile.php?id=100055778302629","","true","false"
"Pro Guidance","info@proguidancehockey.com","778-751-7446","https://proguidancehockey.com/","","Vancouver","BC","","CAN","","","https://www.linkedin.com/company/proguidance-hockey/","https://www.instagram.com/proguidancehockey/","","https://www.facebook.com/profile.php?id=61554694040855","","true","false"
"Pro Hockey Consulting","prohockeyconsulting@gmail.com","","https://www.prohockeyconsulting.com/","","Roxbury","MA","","USA","","","","","","","","true","false"
"Promotion Archie Sports Inc.","contact@promotionarchiesportsinc.com","","Not available","","Anjou","QC","","Canada","","","","","","","","true","false"
"Propulsion Sports Agency","n.riopel@propulsionagency.com","","https://propulsionagency.com/en/home/","","QC","QC","","Canada","","","","https://www.instagram.com/propulsion_hockey?fbclid=IwY2xjawNGOGBleHRuA2FlbQIxMABicmlkETFZWXlmMHdpZmdZamh3RWhxAR44tkKL9ZtnB261qwaVdpWqojWcvG5rWDPw1juXpGFPSqlgZdobLVPO1BFejg_aem_WtGlqbWwFNrPFhOeLc07sg","","https://www.facebook.com/PropulsionHockey","","true","false"
"Prospect285","contact@prospect285.com","","Not available","","Unknown","XX","","Canada","","","","","","https://www.facebook.com/prospect285/","","true","false"
"Prosper Sports Group Inc","Info@prospersportsgroup.com","","https://prospersportsgroup.com/","","Manhattan","NY","","USA","","","https://www.linkedin.com/company/prosper-sports-group-inc/","https://www.instagram.com/prospersportsgroup?fbclid=IwY2xjawNGOWFleHRuA2FlbQIxMABicmlkETFZWXlmMHdpZmdZamh3RWhxAR5UZlzZxogWCTalnoeT-IJzTdTrXY31_mVQwFaH0mTBTusdAul-HMEJYD790w_aem_6jhnytmXn-DLHIPKbW-O-w","https://x.com/PSGAdvisory","https://www.facebook.com/profile.php?id=61559898104998","","true","false"
"Puck Agency","ra@puckagency.com","914-432-0050","http://www.puckagency.com/","","Millwood","NY","","USA","","","","https://www.instagram.com/puckagency/","https://twitter.com/PuckAgency","https://www.facebook.com/puckagency.hockey","","true","false"
"Pure Hockey Management","purehockeymanagement@gmail.com","","Not available","","ON","ON","","Canada","","","","","","https://www.facebook.com/p/Pure-Hockey-Management-100039947318607/","","true","false"
"Pursuit Hockey Development","pursuithockey@gmail.com","289-783-5094","https://pursuithd.ca/","","Unknown","XX","","Canada","","","","https://www.instagram.com/pursuithockey/","","https://www.facebook.com/PursuitHockeyDevelopment/","","true","false"
"Quantum Hockey Agency","joachim@quantumhockeyagency.com","+1 306-451-8058","https://www.quantumhockeyagency.com/contact/","1510 Spadina St W","Moose Jaw","SK","S6H 7E6","CA","","","","https://www.instagram.com/quantumhockeyagency/","https://twitter.com/quantum_hockey","https://www.facebook.com/quantumhockeyagency","","true","false"
"R.W.G. Sport Management","contact@rwgsportmanagement.com","","Not available","","Unknown","XX","","Canada","","","","","https://twitter.com/rwg_sm","","","true","false"
"Recruitment Hockey","contact@recruitmenthockey.com","","Not available","","WI","WI","","USA","","","","https://www.instagram.com/recruitmenthockey/","https://twitter.com/RHFA_est2020","https://www.facebook.com/RHFAest2020/?ref=pages_you_manage","","true","false"
"Renegades Hockey LLC","renegadeshockeyllc@gmail.com","(970) 433-8043","https://www.facebook.com/RIHCLLC","1861 Mckinley St","Ferndale","WA","98248","US","","","","","","https://www.facebook.com/RIHCLLC/","","true","false"
"Rinkside Advisors","info@rinksideadvisors.com","","http://www.rinksideadvisors.com/","","Minneapolis","MN","","USA","","","","https://www.instagram.com/rinkside_advisors/#","","https://www.facebook.com/profile.php?id=61572375797999","","true","false"
"Risen Sports Management","contact@risensportsmanagement.com","(617) 695-9944","Not available","","Unknown","XX","","US","","","","","","https://www.facebook.com/Risen-Sports-Management-102760172128864/","","true","false"
"Rising Athletes Advisory","info@risingathletes.com","1 844 351 8452","https://athleteadvisoryagency.com/","","Vancouver","BC","","Canada","","","https://www.linkedin.com/in/bryan-pearse-bb748929/","","https://x.com/playeradvisory","https://www.facebook.com/bjp.risingathletes?fref=ts","","true","false"
"RRi Hockey Agency","office@rrihockeyagency.com","+1 289-228-7344","https://rrihockeyagency.com/","50 Capulet Ln","London","ON","N6H 0B1","CA","","","","https://www.instagram.com/rriglobalagency/","","https://www.facebook.com/profile.php?id=100072174692328#","","true","false"
"RSA - Rick Sports Agency","contact@rsaricksportsagency.com","(819) 449-1001","https://www.rsahockey.com/","","QC","QC","","Canada","","","","","","","","true","false"
"Rule 1 Sports","aquarters@rule1sports.com","719-651-5846","https://www.rule1sports.com/","","Colorado Springs","CO","","USA","","","","https://www.instagram.com/rule1.sports/?hl=en","","https://www.facebook.com/rule1.sports/","","true","false"
"Select Hockey Management","info@selecthockeymgmt.com","","http://selecthockeymgmt.com/","","Unknown","XX","","US","","","","","https://twitter.com/SelectHockeyMgt","https://www.facebook.com/selecthockey","","true","false"
"Shoot for Success","mashoot4success@gmail.com","519-503-9611","https://shootforsuccess.ca/","","Kitchener","ON","","Canada","","","","https://www.instagram.com/mashoot4success/","https://twitter.com/mashoot4success","https://www.facebook.com/mashoot4success","","true","false"
"Sport Prospects","dboily.sportsprospects@gmail.com","314-775-4269","https://sportprospects.ca/","","Blainville","QC","","Canada","","","","","","","","true","false"
"Steen Sports Systems","contact@steensportssystems.com","469-438-1420","https://steensports.com/","","Allen","TX","","USA","","","","https://www.instagram.com/steen_sports_systems/","","https://www.facebook.com/SteenSportsSystems/#","","true","false"
"Stop It Goaltending","john@stopitgoaltending.com","(833) 878-6748","http://www.stopitgoaltending.com/","11 Cabot Rd","Woburn","MA","1801","US","","","","","https://x.com/stopitgoalies","","","true","false"
"Stretch Pass Advising","andrew.gilgallon@stretchpassadvising.com","","https://stretchpassadvising.com/","","Novi","MI","","USA","","","https://www.linkedin.com/company/stretchpassadvising/","https://www.instagram.com/spadvising","","https://www.facebook.com/StretchPassAdvising/#","","true","false"
"Summit Sports Group","info@summitsportsgrp.com","","https://www.summitsportsgrp.com/","","Unknown","XX","","US","","","","https://www.instagram.com/summitsportsgrp/","https://x.com/SummitSportsGRP","","","true","false"
"Swan Hockey","contact@swanhockey.com","","https://swanhockey.com/","","Point Pleasant","NJ","","USA","","","","","https://twitter.com/swan_hockey","https://www.facebook.com/swanhockey","","true","false"
"Talent Hockey Agency","info@hockeytalentmanagement.com","231-330-8222","https://hockeytalentmanagement.com/","","Unknown","XX","","US","","","https://www.linkedin.com/in/joseph-kolodziej-9666617/","","","","","true","false"
"TBC Hockey Advisors","bailey@congergroup.com","208-867-1570","http://tbchockeyadvisors.com/","","Dallas","TX","","USA","","","","https://www.instagram.com/tbchockeyadvisors/","","","","true","false"
"The Famiglia","contact@thefamiglia.com","702-321-9365","https://www.hockeyproper.com/rocco-cammarata","","NV","NV","","USA","","","","https://www.instagram.com/thefamigliahockey/","","https://www.facebook.com/groups/735849411817499","","true","false"
"The Sports Corporation","info@tschockey.com","+1 780-425-6937","http://www.thesportscorporation.com/","10088 102 Ave NW #1103","Edmonton","AB","T5J 2Z1","CA","","","","","https://twitter.com/tsc_hockey","https://www.facebook.com/thesportscorporation/","","true","false"
"The Will Sports Group","contact@thewillsportsgroup.com","","https://willsportsgroup.com/","","Unknown","XX","","US","","2006","","https://www.instagram.com/willsportsgroup/","","","","true","false"
"Thunder Creek Hockey","jeff@tcwest.ca","+1 306-220-6820","http://www.thundercreekhockey.com/","230 22 St E","Saskatoon","SK","S7K 0E9","CA","","","","","https://twitter.com/tcnewsfeed","","","true","false"
"Top Draft Hockey - Ottawa","admin@topdrafthockey.com","(888) 943-6463","http://www.topdrafthockey.com/","150 Elgin St 10th Floor Suite 10","Ottawa","Ontario","K2P 2P8","CA","","","","https://www.instagram.com/topdrafthockey/","https://twitter.com/topdrafthockey","https://www.facebook.com/topdrafthockey","","true","false"
"Top Hockey Prospect","tophockeyprospect@gmail.com","774-250-2880","https://tophockeyprospect.com/home","","MA","MA","","USA","","","https://www.linkedin.com/in/top-hockey-prospect-937427183/","https://www.instagram.com/tophockeyprospect","https://x.com/Tophockeyprosp1","https://www.facebook.com/profile.php?id=100058705005507#","","true","false"
"Top Shelf Hockey Agency","jresnick@rogers.com","(204) 573-8080","https://tshockeyagency.com/","","Unknown","XX","","Canada","","","","","https://twitter.com/topshelfshelf","https://www.facebook.com/topshelfhockeyagency","","true","false"
"TOP Sports Advisors","contact@topsportsadvisors.com","(314) 783-9860","Not available","","Unknown","XX","","US","","","","","","https://www.facebook.com/topsportsadvisors","","true","false"
"Total Scouting LLC","contact@totalscoutingllc.com","","Not available","","ON","ON","","Canada","","","https://www.linkedin.com/in/brian-cronan-277a457/","","https://x.com/totalscouting?lang=ar-x-fm","","","true","false"
"Total Sports Management LLC","info@TotalSportsMgmt.com","603-785-9180","https://totalsportsmanagement.kreezee-sports.com/about-us","34 South Shore Dr.","Center Barnstead","NH","3225","USA","","","","","","","","true","false"
"Trailblazer Hockey Advisors","info@trailblazerhockeyadvisors.com","306-552-8282","http://www.trailblazerhockeyadvisors.com/","","Regina","SK","","Canada","","","","https://www.instagram.com/trailblazerhockeyadvisors/","https://twitter.com/TBHockeyAdvisor","","","true","false"
"True Advising Group","contact@trueadvisinggroup.com","(269) 321-7472","not available","","Unknown","XX","","US","","","","https://www.instagram.com/CompletePlayerHockey/","https://twitter.com/advisortrue","","","true","false"
"TSA Athletic Consulting","info@tri-stateathletic.com","","https://www.tri-stateathletic.com/","","Unknown","XX","","US","","","","https://www.instagram.com/tsa_athletic/?hl=en","https://x.com/TSAAthletic","https://www.facebook.com/TSAAthleticConsulting/","","true","false"
"Unlimited Sports Management","info@unlimitedsportsmanagement.com","954-629-6094","https://unlimitedsportsmanagement.com/","710 Northeast 15th Ave","Fort Lauderdale","FL","33304","USA","","","","https://www.instagram.com/USMHockey","https://x.com/_USMHockey","https://www.facebook.com/usm.hockey.33","","true","false"
"Vaculik Hockey","info@vaculikhockey.com","","https://vaculikhockey.com/","","Hamilton","ON","","Canada","","","","https://www.instagram.com/vaculik.hockey","","","","true","false"
"Veritas Hockey","tomlynn@veritashockey.com","(651) 260-9257","https://www.veritashockey.com/contact","420 Summit Ave","St Paul","MN","55102","US","","","","","https://twitter.com/VeritasHockey","https://www.facebook.com/VeritasHockey/","","true","false"
"VHG Management","Kevin@Valorhockeygroup.com","(732)-616-4458","https://www.vhgmanagement.com/","","Unknown","XX","","US","","","","","","","","true","false"
"Victorious Hockey Company","heislergroup@gmail.com","727-244-7116","http://victorious-hockey.com/","","Unknown","XX","","US","","","","https://www.instagram.com/victorioushockey/","https://x.com/VictoriousHC","https://www.facebook.com/victorioushockeyco","","true","false"
"Visionary Sports","zach@visionarysports.ca","","Visionary Sports","","Edmonton","AB","","Canada","","","https://www.linkedin.com/company/visionary-sports-and-development/posts/?feedView=all","https://www.instagram.com/visionary.sports/","https://x.com/VisionaryHockey","https://www.facebook.com/VisionaryHockey","","true","false"
"Wingman Hockey Group","info@wingman.group","","https://www.wingman.group/","","Winnipeg","MB","","Canada","","2018","","","https://twitter.com/wingmangrp","https://www.facebook.com/pages/category/Consulting-Agency/Wingman-Player-Consulting-144438669558696/","","true","false"
"Wolfe Hockey Development","hockey@wolfehockey.com","(443) 867-2421","http://www.wolfehockey.com/","13800 Old Gunpowder Rd #3116","Laurel","MD","20707","US","","","","","https://x.com/wolfehockey31","https://www.facebook.com/wolfehockey/","","true","false"
"Women's College Hockey Recruiting","cpentimone@womenscollegehockeyrecruiting.com","773-875-0440","https://womenscollegehockeyrecruiting.com/","","Chicago","IL","","USA","","","","https://www.instagram.com/womenscollegehockeyrecruiting/","https://twitter.com/pentimoneyz","https://www.facebook.com/womenscollegehockeyrecruiting","","true","false"
"Worldwide Sports Management Group","contact@worldwidesportsmanagementgroup.com","818-693-0827","https://www.worldwidesportsmanagementgroup.com/","9850 S Maryland Pkwy","Las Vegas","NV","89183","USA","","1995","","","","","","true","false"
"Yarema Hockey","ayarema@yaremahockey.ca","204-901-4749","https://yaremahockey.ca/","","Ormocto","NB","E2V 1B8","Canada","","","","https://www.instagram.com/yarema_hockey/","","https://www.facebook.com/yaremahockey/","","true","false"
"Zenith Hockey Management","mgardiman@hotmail.com","807-629-2054","https://www.zenithhockeymanagement.com/","","ON","ON","","Canada","","","","https://www.instagram.com/zenithhockeymanagement2021/","","https://www.facebook.com/zenithhockeymanagement#","","true","false"
"Zero Klub Hockey","zeroklub@icloud.com","","https://zkhockey.com/","","NJ","NJ","","USA","","","","","https://twitter.com/ZeroKlub","","","true","false"
